date,home_team,away_team,prop_odds_game_id,sportsbook,home_team_odds,away_team_odds,winner
2023-04-07,Boston Celtics,Toronto Raptors,c2bd1ce6c20373dd74104d3a176f0222,draftkings,-140,120,
2023-04-07,Boston Celtics,Toronto Raptors,c2bd1ce6c20373dd74104d3a176f0222,caesars,-135,115,
2023-04-07,Brooklyn Nets,Orlando Magic,feb8c23807c816a2444b30611390a5eb,fanduel,-720,520,
2023-04-07,Brooklyn Nets,Orlando Magic,feb8c23807c816a2444b30611390a5eb,draftkings,-800,575,
2023-04-07,Brooklyn Nets,Orlando Magic,feb8c23807c816a2444b30611390a5eb,caesars,-800,550,
2023-04-07,Milwaukee Bucks,Memphis Grizzlies,ee92b290096b2652848204c00a2354df,fanduel,225,-275,
2023-04-07,Milwaukee Bucks,Memphis Grizzlies,ee92b290096b2652848204c00a2354df,draftkings,230,-275,
2023-04-07,Milwaukee Bucks,Memphis Grizzlies,ee92b290096b2652848204c00a2354df,caesars,240,-305,
2023-04-07,New Orleans Pelicans,New York Knicks,788ce132cccdaea040c95d0464808ff4,fanduel,-320,260,
2023-04-07,New Orleans Pelicans,New York Knicks,788ce132cccdaea040c95d0464808ff4,draftkings,-320,265,
2023-04-07,New Orleans Pelicans,New York Knicks,788ce132cccdaea040c95d0464808ff4,caesars,-345,270,
2023-04-07,Dallas Mavericks,Chicago Bulls,8757990bb32f12b3c4d209c732cfd820,fanduel,-490,380,
2023-04-07,Dallas Mavericks,Chicago Bulls,8757990bb32f12b3c4d209c732cfd820,draftkings,-475,380,
2023-04-07,Dallas Mavericks,Chicago Bulls,8757990bb32f12b3c4d209c732cfd820,caesars,-480,360,
2023-04-07,Sacramento Kings,Golden State Warriors,a939a597b2d71bb51973febd05cbe64d,fanduel,265,-330,
2023-04-07,Sacramento Kings,Golden State Warriors,a939a597b2d71bb51973febd05cbe64d,draftkings,235,-280,
2023-04-07,Sacramento Kings,Golden State Warriors,a939a597b2d71bb51973febd05cbe64d,caesars,270,-345,
2023-04-07,Los Angeles Lakers,Phoenix Suns,25cde6329053b8107760088193660ecf,fanduel,-350,280,
2023-04-07,Los Angeles Lakers,Phoenix Suns,25cde6329053b8107760088193660ecf,draftkings,-360,295,
2023-04-07,Los Angeles Lakers,Phoenix Suns,25cde6329053b8107760088193660ecf,caesars,-355,278,
2023-04-08,Utah Jazz,Denver Nuggets,23735fdf2514d20d05cce280ec28d549,fanduel,220,-270,
2023-04-08,Utah Jazz,Denver Nuggets,23735fdf2514d20d05cce280ec28d549,draftkings,230,-275,
2023-04-08,Utah Jazz,Denver Nuggets,23735fdf2514d20d05cce280ec28d549,caesars,228,-285,
2023-04-08,Utah Jazz,Denver Nuggets,23735fdf2514d20d05cce280ec28d549,betmgm,210,-275,
2023-04-08,San Antonio Spurs,Minnesota Timberwolves,f3d23a6d32ce474b6b259ed24abaf9a8,fanduel,730,-1150,
2023-04-08,San Antonio Spurs,Minnesota Timberwolves,f3d23a6d32ce474b6b259ed24abaf9a8,draftkings,700,-1050,
2023-04-08,San Antonio Spurs,Minnesota Timberwolves,f3d23a6d32ce474b6b259ed24abaf9a8,caesars,800,-1400,
2023-04-08,San Antonio Spurs,Minnesota Timberwolves,f3d23a6d32ce474b6b259ed24abaf9a8,betmgm,650,-1000,
2023-04-08,LA Clippers,Portland Trail Blazers,b71215b7bfca740f0d6afdf1f923fd3d,fanduel,-1800,980,
2023-04-08,LA Clippers,Portland Trail Blazers,b71215b7bfca740f0d6afdf1f923fd3d,draftkings,-1650,950,
2023-04-08,LA Clippers,Portland Trail Blazers,b71215b7bfca740f0d6afdf1f923fd3d,caesars,-2000,1050,
2023-04-08,LA Clippers,Portland Trail Blazers,b71215b7bfca740f0d6afdf1f923fd3d,betmgm,-2000,1000,
2023-04-09,Boston Celtics,Atlanta Hawks,5cc5cee7a1b9f4d16a7d0dd273fdb56d,fanduel,-275,225,
2023-04-09,Boston Celtics,Atlanta Hawks,5cc5cee7a1b9f4d16a7d0dd273fdb56d,draftkings,-260,220,
2023-04-09,Boston Celtics,Atlanta Hawks,5cc5cee7a1b9f4d16a7d0dd273fdb56d,caesars,-278,222,
2023-04-09,Boston Celtics,Atlanta Hawks,5cc5cee7a1b9f4d16a7d0dd273fdb56d,betmgm,-275,220,
2023-04-09,Boston Celtics,Atlanta Hawks,5cc5cee7a1b9f4d16a7d0dd273fdb56d,barstool,-250,205,
2023-04-09,Brooklyn Nets,Philadelphia 76ers,4a7329206b98e1abd221c86420febf99,fanduel,-174,146,
2023-04-09,Brooklyn Nets,Philadelphia 76ers,4a7329206b98e1abd221c86420febf99,draftkings,-170,145,
2023-04-09,Brooklyn Nets,Philadelphia 76ers,4a7329206b98e1abd221c86420febf99,caesars,-170,143,
2023-04-09,Brooklyn Nets,Philadelphia 76ers,4a7329206b98e1abd221c86420febf99,betmgm,-165,140,
2023-04-09,Brooklyn Nets,Philadelphia 76ers,4a7329206b98e1abd221c86420febf99,barstool,-167,140,
2023-04-09,Cleveland Cavaliers,Charlotte Hornets,9e23e612052b02a613af4d1f0ff73abb,fanduel,-220,184,
2023-04-09,Cleveland Cavaliers,Charlotte Hornets,9e23e612052b02a613af4d1f0ff73abb,draftkings,-210,180,
2023-04-09,Cleveland Cavaliers,Charlotte Hornets,9e23e612052b02a613af4d1f0ff73abb,caesars,-210,175,
2023-04-09,Cleveland Cavaliers,Charlotte Hornets,9e23e612052b02a613af4d1f0ff73abb,betmgm,-200,165,
2023-04-09,Cleveland Cavaliers,Charlotte Hornets,9e23e612052b02a613af4d1f0ff73abb,barstool,-235,190,
2023-04-09,Miami Heat,Orlando Magic,5b798170d54f7879e8d6abedfa21429b,fanduel,-220,184,
2023-04-09,Miami Heat,Orlando Magic,5b798170d54f7879e8d6abedfa21429b,draftkings,-200,170,
2023-04-09,Miami Heat,Orlando Magic,5b798170d54f7879e8d6abedfa21429b,caesars,-225,185,
2023-04-09,Miami Heat,Orlando Magic,5b798170d54f7879e8d6abedfa21429b,betmgm,-210,170,
2023-04-09,Miami Heat,Orlando Magic,5b798170d54f7879e8d6abedfa21429b,barstool,-205,170,
2023-04-09,New York Knicks,Indiana Pacers,72dffda73530d054c05ae325c0a6d330,fanduel,-405,320,
2023-04-09,New York Knicks,Indiana Pacers,72dffda73530d054c05ae325c0a6d330,draftkings,-380,310,
2023-04-09,New York Knicks,Indiana Pacers,72dffda73530d054c05ae325c0a6d330,caesars,-355,278,
2023-04-09,New York Knicks,Indiana Pacers,72dffda73530d054c05ae325c0a6d330,betmgm,-375,300,
2023-04-09,New York Knicks,Indiana Pacers,72dffda73530d054c05ae325c0a6d330,barstool,-400,320,
2023-04-09,Toronto Raptors,Milwaukee Bucks,f184f7cb63ae90f0dad4ebe4d793ccb6,fanduel,-162,136,
2023-04-09,Toronto Raptors,Milwaukee Bucks,f184f7cb63ae90f0dad4ebe4d793ccb6,draftkings,-155,135,
2023-04-09,Toronto Raptors,Milwaukee Bucks,f184f7cb63ae90f0dad4ebe4d793ccb6,caesars,-165,140,
